CustomerID,ChurnProbability,RiskTier,ChurnReasons,PersonalizedStrategy,ExpectedRetentionGain,StrategyCostLevels
DI5QCD7ZFR,0.88862,High Risk,"['Short Tenure', 'High Inactivity']","['Onboarding walkthrough', 'Resume-watching reminders', 'Re-engagement notifications', 'Free premium days', 'Starter content packs', 'Trial period extension']",1.5110000371932983,"['Medium', 'Low']"
GYAODXPTRJ,0.88862,High Risk,"['Short Tenure', 'High Inactivity']","['Onboarding walkthrough', 'Resume-watching reminders', 'Re-engagement notifications', 'Free premium days', 'Starter content packs', 'Trial period extension']",1.5110000371932983,"['Medium', 'Low']"
WOH2E5TLSW,0.88862,High Risk,"['Short Tenure', 'High Inactivity']","['Onboarding walkthrough', 'Resume-watching reminders', 'Re-engagement notifications', 'Free premium days', 'Starter content packs', 'Trial period extension']",1.5110000371932983,"['Medium', 'Low']"
5KHIYIOBKA,0.88862,High Risk,"['Short Tenure', 'High Inactivity']","['Onboarding walkthrough', 'Resume-watching reminders', 'Re-engagement notifications', 'Free premium days', 'Starter content packs', 'Trial period extension']",1.5110000371932983,"['Medium', 'Low']"
NLI3R94A5I,0.88862,High Risk,"['Short Tenure', 'High Inactivity']","['Onboarding walkthrough', 'Resume-watching reminders', 'Re-engagement notifications', 'Free premium days', 'Starter content packs', 'Trial period extension']",1.5110000371932983,"['Medium', 'Low']"
U4G4FNK0JH,0.88861996,High Risk,"['High Inactivity', 'Short Tenure']","['Onboarding walkthrough', 'Resume-watching reminders', 'Re-engagement notifications', 'Free premium days', 'Starter content packs', 'Trial period extension']",1.5110000371932983,"['Medium', 'Low']"
161UL11TAX,0.88861996,High Risk,"['Short Tenure', 'High Inactivity']","['Onboarding walkthrough', 'Resume-watching reminders', 'Re-engagement notifications', 'Free premium days', 'Starter content packs', 'Trial period extension']",1.5110000371932983,"['Medium', 'Low']"
NHRXTG6TLW,0.88861996,High Risk,"['High Inactivity', 'Short Tenure']","['Onboarding walkthrough', 'Resume-watching reminders', 'Re-engagement notifications', 'Free premium days', 'Starter content packs', 'Trial period extension']",1.5110000371932983,"['Medium', 'Low']"
FO0G9MAR0R,0.88861996,High Risk,"['Short Tenure', 'High Inactivity']","['Onboarding walkthrough', 'Resume-watching reminders', 'Re-engagement notifications', 'Free premium days', 'Starter content packs', 'Trial period extension']",1.5110000371932983,"['Medium', 'Low']"
30XJWT2YG1,0.88861996,High Risk,"['High Inactivity', 'Short Tenure']","['Onboarding walkthrough', 'Resume-watching reminders', 'Re-engagement notifications', 'Free premium days', 'Starter content packs', 'Trial period extension']",1.5110000371932983,"['Medium', 'Low']"
FJE3LMEE8O,0.88861996,High Risk,"['Short Tenure', 'High Inactivity']","['Onboarding walkthrough', 'Resume-watching reminders', 'Re-engagement notifications', 'Free premium days', 'Starter content packs', 'Trial period extension']",1.5110000371932983,"['Medium', 'Low']"
P9DHBQFTD4,0.88861996,High Risk,"['Short Tenure', 'High Inactivity']","['Onboarding walkthrough', 'Resume-watching reminders', 'Re-engagement notifications', 'Free premium days', 'Starter content packs', 'Trial period extension']",1.5110000371932983,"['Medium', 'Low']"
598Y3SESQJ,0.88861996,High Risk,"['High Inactivity', 'Short Tenure']","['Onboarding walkthrough', 'Resume-watching reminders', 'Re-engagement notifications', 'Free premium days', 'Starter content packs', 'Trial period extension']",1.5110000371932983,"['Medium', 'Low']"
Z4OHIFFFVT,0.88861996,High Risk,"['Short Tenure', 'High Inactivity']","['Onboarding walkthrough', 'Resume-watching reminders', 'Re-engagement notifications', 'Free premium days', 'Starter content packs', 'Trial period extension']",1.5110000371932983,"['Medium', 'Low']"
6VEBC25SEI,0.88861996,High Risk,"['Short Tenure', 'High Inactivity']","['Onboarding walkthrough', 'Resume-watching reminders', 'Re-engagement notifications', 'Free premium days', 'Starter content packs', 'Trial period extension']",1.5110000371932983,"['Medium', 'Low']"
A9DN890UAA,0.88861996,High Risk,"['Short Tenure', 'High Inactivity']","['Onboarding walkthrough', 'Resume-watching reminders', 'Re-engagement notifications', 'Free premium days', 'Starter content packs', 'Trial period extension']",1.5110000371932983,"['Medium', 'Low']"
JHRB7KICT8,0.88861996,High Risk,"['Short Tenure', 'High Inactivity']","['Onboarding walkthrough', 'Resume-watching reminders', 'Re-engagement notifications', 'Free premium days', 'Starter content packs', 'Trial period extension']",1.5110000371932983,"['Medium', 'Low']"
VJTZ7E2CHY,0.88861996,High Risk,"['Short Tenure', 'High Inactivity']","['Onboarding walkthrough', 'Resume-watching reminders', 'Re-engagement notifications', 'Free premium days', 'Starter content packs', 'Trial period extension']",1.5110000371932983,"['Medium', 'Low']"
FH7VQ22PLZ,0.88861996,High Risk,"['Short Tenure', 'High Inactivity']","['Onboarding walkthrough', 'Resume-watching reminders', 'Re-engagement notifications', 'Free premium days', 'Starter content packs', 'Trial period extension']",1.5110000371932983,"['Medium', 'Low']"
TD27ZJ16TV,0.88861996,High Risk,"['Short Tenure', 'High Inactivity']","['Onboarding walkthrough', 'Resume-watching reminders', 'Re-engagement notifications', 'Free premium days', 'Starter content packs', 'Trial period extension']",1.5110000371932983,"['Medium', 'Low']"
WCNBBFVYN9,0.88861996,High Risk,"['Short Tenure', 'High Inactivity']","['Onboarding walkthrough', 'Resume-watching reminders', 'Re-engagement notifications', 'Free premium days', 'Starter content packs', 'Trial period extension']",1.5110000371932983,"['Medium', 'Low']"
I0BV5U6UZ1,0.88861996,High Risk,"['Short Tenure', 'High Inactivity']","['Onboarding walkthrough', 'Resume-watching reminders', 'Re-engagement notifications', 'Free premium days', 'Starter content packs', 'Trial period extension']",1.5110000371932983,"['Medium', 'Low']"
Q3WKJRE7LU,0.88861996,High Risk,"['Short Tenure', 'High Inactivity']","['Onboarding walkthrough', 'Resume-watching reminders', 'Re-engagement notifications', 'Free premium days', 'Starter content packs', 'Trial period extension']",1.5110000371932983,"['Medium', 'Low']"
VO426M9ER1,0.88861996,High Risk,"['Short Tenure', 'High Inactivity']","['Onboarding walkthrough', 'Resume-watching reminders', 'Re-engagement notifications', 'Free premium days', 'Starter content packs', 'Trial period extension']",1.5110000371932983,"['Medium', 'Low']"
H74AOPQEMD,0.88861996,High Risk,"['Short Tenure', 'High Inactivity']","['Onboarding walkthrough', 'Resume-watching reminders', 'Re-engagement notifications', 'Free premium days', 'Starter content packs', 'Trial period extension']",1.5110000371932983,"['Medium', 'Low']"
R9K8LYTSXP,0.88861996,High Risk,"['High Inactivity', 'Short Tenure']","['Onboarding walkthrough', 'Resume-watching reminders', 'Re-engagement notifications', 'Free premium days', 'Starter content packs', 'Trial period extension']",1.5110000371932983,"['Medium', 'Low']"
2SKZWQGOKS,0.88861996,High Risk,"['Short Tenure', 'High Inactivity']","['Onboarding walkthrough', 'Resume-watching reminders', 'Re-engagement notifications', 'Free premium days', 'Starter content packs', 'Trial period extension']",1.5110000371932983,"['Medium', 'Low']"
IKRNFGOL0B,0.88861996,High Risk,"['Short Tenure', 'High Inactivity']","['Onboarding walkthrough', 'Resume-watching reminders', 'Re-engagement notifications', 'Free premium days', 'Starter content packs', 'Trial period extension']",1.5110000371932983,"['Medium', 'Low']"
H9SDEX7WLN,0.88861996,High Risk,"['Short Tenure', 'High Inactivity']","['Onboarding walkthrough', 'Resume-watching reminders', 'Re-engagement notifications', 'Free premium days', 'Starter content packs', 'Trial period extension']",1.5110000371932983,"['Medium', 'Low']"
2QZODW8SPC,0.88861996,High Risk,"['Short Tenure', 'High Inactivity']","['Onboarding walkthrough', 'Resume-watching reminders', 'Re-engagement notifications', 'Free premium days', 'Starter content packs', 'Trial period extension']",1.5110000371932983,"['Medium', 'Low']"
TX028FBS9X,0.88861996,High Risk,"['Short Tenure', 'High Inactivity']","['Onboarding walkthrough', 'Resume-watching reminders', 'Re-engagement notifications', 'Free premium days', 'Starter content packs', 'Trial period extension']",1.5110000371932983,"['Medium', 'Low']"
8DVWKYLSUS,0.88861996,High Risk,"['Short Tenure', 'High Inactivity']","['Onboarding walkthrough', 'Resume-watching reminders', 'Re-engagement notifications', 'Free premium days', 'Starter content packs', 'Trial period extension']",1.5110000371932983,"['Medium', 'Low']"
Z9ZDBYR7X6,0.88861996,High Risk,"['High Inactivity', 'Short Tenure']","['Onboarding walkthrough', 'Resume-watching reminders', 'Re-engagement notifications', 'Free premium days', 'Starter content packs', 'Trial period extension']",1.5110000371932983,"['Medium', 'Low']"
1KCSMO8HLA,0.88861996,High Risk,"['Short Tenure', 'High Inactivity']","['Onboarding walkthrough', 'Resume-watching reminders', 'Re-engagement notifications', 'Free premium days', 'Starter content packs', 'Trial period extension']",1.5110000371932983,"['Medium', 'Low']"
ZO588D5VU6,0.88861996,High Risk,"['Short Tenure', 'High Inactivity']","['Onboarding walkthrough', 'Resume-watching reminders', 'Re-engagement notifications', 'Free premium days', 'Starter content packs', 'Trial period extension']",1.5110000371932983,"['Medium', 'Low']"
QY7DFYWKJG,0.88861996,High Risk,"['High Inactivity', 'Short Tenure']","['Onboarding walkthrough', 'Resume-watching reminders', 'Re-engagement notifications', 'Free premium days', 'Starter content packs', 'Trial period extension']",1.5110000371932983,"['Medium', 'Low']"
KT7CKP1UW4,0.88861996,High Risk,"['High Inactivity', 'Short Tenure']","['Onboarding walkthrough', 'Resume-watching reminders', 'Re-engagement notifications', 'Free premium days', 'Starter content packs', 'Trial period extension']",1.5110000371932983,"['Medium', 'Low']"
UPHFBWSIZR,0.88861996,High Risk,"['Short Tenure', 'High Inactivity']","['Onboarding walkthrough', 'Resume-watching reminders', 'Re-engagement notifications', 'Free premium days', 'Starter content packs', 'Trial period extension']",1.5110000371932983,"['Medium', 'Low']"
EDFLVUTUET,0.88861996,High Risk,"['Short Tenure', 'High Inactivity']","['Onboarding walkthrough', 'Resume-watching reminders', 'Re-engagement notifications', 'Free premium days', 'Starter content packs', 'Trial period extension']",1.5110000371932983,"['Medium', 'Low']"
H8267ZEBKB,0.88861996,High Risk,"['High Inactivity', 'Short Tenure']","['Onboarding walkthrough', 'Resume-watching reminders', 'Re-engagement notifications', 'Free premium days', 'Starter content packs', 'Trial period extension']",1.5110000371932983,"['Medium', 'Low']"
HJ1H11ABKK,0.88861996,High Risk,"['Short Tenure', 'High Inactivity']","['Onboarding walkthrough', 'Resume-watching reminders', 'Re-engagement notifications', 'Free premium days', 'Starter content packs', 'Trial period extension']",1.5110000371932983,"['Medium', 'Low']"
234463VYAR,0.88861996,High Risk,"['Short Tenure', 'High Inactivity']","['Onboarding walkthrough', 'Resume-watching reminders', 'Re-engagement notifications', 'Free premium days', 'Starter content packs', 'Trial period extension']",1.5110000371932983,"['Medium', 'Low']"
69JLVVL60S,0.88861996,High Risk,"['High Inactivity', 'Short Tenure']","['Onboarding walkthrough', 'Resume-watching reminders', 'Re-engagement notifications', 'Free premium days', 'Starter content packs', 'Trial period extension']",1.5110000371932983,"['Medium', 'Low']"
1O94GOW5O4,0.88861996,High Risk,"['Short Tenure', 'High Inactivity']","['Onboarding walkthrough', 'Resume-watching reminders', 'Re-engagement notifications', 'Free premium days', 'Starter content packs', 'Trial period extension']",1.5110000371932983,"['Medium', 'Low']"
